target,starttime,endtime,freq,power
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0052556,-147.806
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00573128,-147.066
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00625,-147.509
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00681567,-148.941
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00743254,-149.175
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00810525,-148.987
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00883883,-149.641
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.00963882,-149.487
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0105112,-149.7
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0114626,-151.198
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0125,-151.082
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0136313,-151.03
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0148651,-150.913
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0162105,-153.294
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0176777,-153.552
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0192776,-153.3
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0210224,-154.533
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0229251,-154.841
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.025,-156.073
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0272627,-156.54
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0297302,-157.15
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.032421,-157.854
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0353553,-157.982
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0385553,-157.684
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0420448,-157.644
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0458502,-155.535
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.05,-152.8
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0545254,-148.899
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0594604,-146.096
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.064842,-144.521
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0707107,-143.522
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0771105,-142.467
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0840896,-141.488
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.0917004,-140.54
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.1,-137.917
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.109051,-132.19
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.118921,-125.034
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.129684,-119.985
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.141421,-113.554
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.154221,-109.921
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.168179,-108.288
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.183401,-107.478
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.2,-106.871
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.218102,-106.375
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.237841,-106.01
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.259368,-105.794
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.282843,-106.517
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.308442,-108.527
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.336359,-111.011
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.366802,-112.645
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.4,-114.25
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.436203,-115.337
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.475683,-116.114
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.518736,-116.904
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.565685,-117.894
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.616884,-119.087
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.672717,-120.535
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.733603,-121.867
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.8,-122.976
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.872406,-124.127
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,0.951366,-125.032
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,1.03747,-126.218
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,1.13137,-127.537
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,1.23377,-129.005
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,1.34543,-130.742
NS.BER.00.HHE,2020-01-17T00:00:00,2020-01-17T01:00:00,1.46721,-132.756
