target,starttime,endtime,freq,power
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0052556,-159.034
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.00573128,-156.684
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.00625,-157.127
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.00681567,-156.032
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.00743254,-156.266
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.00810525,-153.923
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.00883883,-153.175
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.00963882,-153.021
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0105112,-153.256
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0114626,-152.959
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0125,-153.226
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0136313,-153.451
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0148651,-153.488
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0162105,-156.566
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0176777,-158.371
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0192776,-158.159
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0210224,-160.243
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0229251,-164.886
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.025,-165.56
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0272627,-165.807
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0297302,-165.187
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.032421,-163.837
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0353553,-160.45
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0385553,-156.289
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0420448,-149.811
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0458502,-144.808
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.05,-142.283
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0545254,-140.72
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0594604,-139.733
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.064842,-138.879
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0707107,-138.445
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0771105,-136.384
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0840896,-126.884
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.0917004,-121.269
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.1,-118.504
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.109051,-116.546
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.118921,-114.604
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.129684,-113.584
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.141421,-112.857
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.154221,-112.232
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.168179,-111.86
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.183401,-111.889
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.2,-111.907
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.218102,-111.983
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.237841,-112.789
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.259368,-113.156
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.282843,-113.347
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.308442,-113.316
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.336359,-113.578
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.366802,-113.91
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.4,-114.859
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.436203,-116.586
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.475683,-117.884
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.518736,-119.366
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.565685,-121.185
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.616884,-122.818
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.672717,-124.602
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.733603,-126.336
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.8,-128.033
NS.BER.00.HHN,2020-01-10T00:00:00,2020-01-10T01:00:00,0.872406,-130.05
