target,starttime,endtime,freq,power
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0052556,-158.228
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.00573128,-159.126
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.00625,-159.569
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.00681567,-158.787
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.00743254,-159.02
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.00810525,-159.067
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.00883883,-158.986
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.00963882,-158.832
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0105112,-158.853
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0114626,-158.768
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0125,-158.826
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0136313,-159.481
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0148651,-159.251
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0162105,-159.872
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0176777,-160.335
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0192776,-160.015
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0210224,-160.631
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0229251,-160.832
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.025,-160.969
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0272627,-161.197
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0297302,-161.038
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.032421,-161.807
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0353553,-161.323
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0385553,-158.838
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0420448,-155.411
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0458502,-147.312
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.05,-140.341
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0545254,-135.973
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.0594604,-134.699
NS.BER.00.HHZ,2020-01-19T00:00:00,2020-01-19T01:00:00,0.064842,-133.717
