target,start,end,metricName,value
NS.BER.00.HHE.D,2020-01-01T00:00:03,2020-01-01T23:59:59,pct_above_nhnm,0.12089
NS.BER.00.HHE.D,2020-01-01T00:00:03,2020-01-01T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-01T00:00:03,2020-01-01T23:59:59,dead_channel_lin,14.4093
NS.BER.00.HHE.D,2020-01-01T00:00:03,2020-01-01T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-01T00:00:01,2020-01-01T23:59:59,pct_above_nhnm,0.82205
NS.BER.00.HHN.D,2020-01-01T00:00:01,2020-01-01T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-01T00:00:01,2020-01-01T23:59:59,dead_channel_lin,13.8274
NS.BER.00.HHN.D,2020-01-01T00:00:01,2020-01-01T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,pct_above_nhnm,1.78917
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,dead_channel_lin,16.2753
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,pct_above_nhnm,2.92553
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,dead_channel_lin,13.0237
NS.BER.00.HHE.D,2020-01-02T00:00:00,2020-01-02T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,pct_above_nhnm,3.77176
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,dead_channel_lin,12.6312
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,pct_above_nhnm,5.53675
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,dead_channel_lin,16.4121
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-03T00:00:02,2020-01-03T23:59:59,pct_above_nhnm,5.68182
NS.BER.00.HHE.D,2020-01-03T00:00:02,2020-01-03T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-03T00:00:02,2020-01-03T23:59:59,dead_channel_lin,14.3855
NS.BER.00.HHE.D,2020-01-03T00:00:02,2020-01-03T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-03T00:00:02,2020-01-03T23:59:59,pct_above_nhnm,5.46422
NS.BER.00.HHN.D,2020-01-03T00:00:02,2020-01-03T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-03T00:00:02,2020-01-03T23:59:59,dead_channel_lin,14.2981
NS.BER.00.HHN.D,2020-01-03T00:00:02,2020-01-03T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-03T00:00:02,2020-01-03T23:59:59,pct_above_nhnm,10.0338
NS.BER.00.HHZ.D,2020-01-03T00:00:02,2020-01-03T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-03T00:00:02,2020-01-03T23:59:59,dead_channel_lin,17.3379
NS.BER.00.HHZ.D,2020-01-03T00:00:02,2020-01-03T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,pct_above_nhnm,5.51257
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,dead_channel_lin,15.1554
NS.BER.00.HHE.D,2020-01-04T00:00:00,2020-01-04T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-04T00:00:01,2020-01-04T23:59:59,pct_above_nhnm,5.77853
NS.BER.00.HHN.D,2020-01-04T00:00:01,2020-01-04T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-04T00:00:01,2020-01-04T23:59:59,dead_channel_lin,15.1371
NS.BER.00.HHN.D,2020-01-04T00:00:01,2020-01-04T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-04T00:00:03,2020-01-04T23:59:59,pct_above_nhnm,7.54352
NS.BER.00.HHZ.D,2020-01-04T00:00:03,2020-01-04T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-04T00:00:03,2020-01-04T23:59:59,dead_channel_lin,16.9427
NS.BER.00.HHZ.D,2020-01-04T00:00:03,2020-01-04T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-05T00:00:03,2020-01-05T23:59:59,pct_above_nhnm,0.193424
NS.BER.00.HHE.D,2020-01-05T00:00:03,2020-01-05T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-05T00:00:03,2020-01-05T23:59:59,dead_channel_lin,14.0541
NS.BER.00.HHE.D,2020-01-05T00:00:03,2020-01-05T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-05T00:00:03,2020-01-05T23:59:59,pct_above_nhnm,0.0483559
NS.BER.00.HHN.D,2020-01-05T00:00:03,2020-01-05T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-05T00:00:03,2020-01-05T23:59:59,dead_channel_lin,13.557
NS.BER.00.HHN.D,2020-01-05T00:00:03,2020-01-05T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-05T00:00:03,2020-01-05T23:59:59,pct_above_nhnm,0.725338
NS.BER.00.HHZ.D,2020-01-05T00:00:03,2020-01-05T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-05T00:00:03,2020-01-05T23:59:59,dead_channel_lin,15.6945
NS.BER.00.HHZ.D,2020-01-05T00:00:03,2020-01-05T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-06T00:00:01,2020-01-06T23:59:59,pct_above_nhnm,0.386847
NS.BER.00.HHE.D,2020-01-06T00:00:01,2020-01-06T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-06T00:00:01,2020-01-06T23:59:59,dead_channel_lin,11.8096
NS.BER.00.HHE.D,2020-01-06T00:00:01,2020-01-06T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-06T00:00:00,2020-01-06T23:59:59,pct_above_nhnm,0.314313
NS.BER.00.HHN.D,2020-01-06T00:00:00,2020-01-06T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-06T00:00:00,2020-01-06T23:59:59,dead_channel_lin,11.2397
NS.BER.00.HHN.D,2020-01-06T00:00:00,2020-01-06T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-06T00:00:02,2020-01-06T23:59:59,pct_above_nhnm,0.652805
NS.BER.00.HHZ.D,2020-01-06T00:00:02,2020-01-06T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-06T00:00:02,2020-01-06T23:59:59,dead_channel_lin,14.1605
NS.BER.00.HHZ.D,2020-01-06T00:00:02,2020-01-06T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-07T00:00:03,2020-01-07T23:59:59,pct_above_nhnm,2.44197
NS.BER.00.HHE.D,2020-01-07T00:00:03,2020-01-07T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-07T00:00:03,2020-01-07T23:59:59,dead_channel_lin,12.1797
NS.BER.00.HHE.D,2020-01-07T00:00:03,2020-01-07T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-07T00:00:00,2020-01-07T23:59:59,pct_above_nhnm,2.80464
NS.BER.00.HHN.D,2020-01-07T00:00:00,2020-01-07T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-07T00:00:00,2020-01-07T23:59:59,dead_channel_lin,11.6145
NS.BER.00.HHN.D,2020-01-07T00:00:00,2020-01-07T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-07T00:00:03,2020-01-07T23:59:59,pct_above_nhnm,5.05319
NS.BER.00.HHZ.D,2020-01-07T00:00:03,2020-01-07T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-07T00:00:03,2020-01-07T23:59:59,dead_channel_lin,14.8242
NS.BER.00.HHZ.D,2020-01-07T00:00:03,2020-01-07T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-08T00:00:03,2020-01-08T23:59:59,pct_above_nhnm,8.31721
NS.BER.00.HHE.D,2020-01-08T00:00:03,2020-01-08T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-08T00:00:03,2020-01-08T23:59:59,dead_channel_lin,14.4771
NS.BER.00.HHE.D,2020-01-08T00:00:03,2020-01-08T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-08T00:00:01,2020-01-08T23:59:59,pct_above_nhnm,7.37427
NS.BER.00.HHN.D,2020-01-08T00:00:01,2020-01-08T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-08T00:00:01,2020-01-08T23:59:59,dead_channel_lin,14.2125
NS.BER.00.HHN.D,2020-01-08T00:00:01,2020-01-08T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-08T00:00:02,2020-01-08T23:59:59,pct_above_nhnm,12.0648
NS.BER.00.HHZ.D,2020-01-08T00:00:02,2020-01-08T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-08T00:00:02,2020-01-08T23:59:59,dead_channel_lin,17.2066
NS.BER.00.HHZ.D,2020-01-08T00:00:02,2020-01-08T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-09T00:00:02,2020-01-09T23:59:59,pct_above_nhnm,10.324
NS.BER.00.HHE.D,2020-01-09T00:00:02,2020-01-09T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-09T00:00:02,2020-01-09T23:59:59,dead_channel_lin,14.0711
NS.BER.00.HHE.D,2020-01-09T00:00:02,2020-01-09T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-09T00:00:02,2020-01-09T23:59:59,pct_above_nhnm,9.91296
NS.BER.00.HHN.D,2020-01-09T00:00:02,2020-01-09T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-09T00:00:02,2020-01-09T23:59:59,dead_channel_lin,13.7712
NS.BER.00.HHN.D,2020-01-09T00:00:02,2020-01-09T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-09T00:00:01,2020-01-09T23:59:59,pct_above_nhnm,13.6847
NS.BER.00.HHZ.D,2020-01-09T00:00:01,2020-01-09T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-09T00:00:01,2020-01-09T23:59:59,dead_channel_lin,16.0978
NS.BER.00.HHZ.D,2020-01-09T00:00:01,2020-01-09T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-10T00:00:00,2020-01-10T23:59:59,pct_above_nhnm,0.0483559
NS.BER.00.HHE.D,2020-01-10T00:00:00,2020-01-10T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-10T00:00:00,2020-01-10T23:59:59,dead_channel_lin,12.3743
NS.BER.00.HHE.D,2020-01-10T00:00:00,2020-01-10T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-10T00:00:02,2020-01-10T23:59:59,pct_above_nhnm,0
NS.BER.00.HHN.D,2020-01-10T00:00:02,2020-01-10T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-10T00:00:02,2020-01-10T23:59:59,dead_channel_lin,11.7705
NS.BER.00.HHN.D,2020-01-10T00:00:02,2020-01-10T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-10T00:00:00,2020-01-10T23:59:59,pct_above_nhnm,0.918762
NS.BER.00.HHZ.D,2020-01-10T00:00:00,2020-01-10T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-10T00:00:00,2020-01-10T23:59:59,dead_channel_lin,14.3108
NS.BER.00.HHZ.D,2020-01-10T00:00:00,2020-01-10T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-11T00:00:00,2020-01-11T23:59:59,pct_above_nhnm,3.11896
NS.BER.00.HHE.D,2020-01-11T00:00:00,2020-01-11T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-11T00:00:00,2020-01-11T23:59:59,dead_channel_lin,14.0079
NS.BER.00.HHE.D,2020-01-11T00:00:00,2020-01-11T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-11T00:00:00,2020-01-11T23:59:59,pct_above_nhnm,2.97389
NS.BER.00.HHN.D,2020-01-11T00:00:00,2020-01-11T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-11T00:00:00,2020-01-11T23:59:59,dead_channel_lin,13.4484
NS.BER.00.HHN.D,2020-01-11T00:00:00,2020-01-11T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-11T00:00:02,2020-01-11T23:59:59,pct_above_nhnm,5.44004
NS.BER.00.HHZ.D,2020-01-11T00:00:02,2020-01-11T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-11T00:00:02,2020-01-11T23:59:59,dead_channel_lin,16.7081
NS.BER.00.HHZ.D,2020-01-11T00:00:02,2020-01-11T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-12T00:00:00,2020-01-12T23:59:59,pct_above_nhnm,3.09478
NS.BER.00.HHE.D,2020-01-12T00:00:00,2020-01-12T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-12T00:00:00,2020-01-12T23:59:59,dead_channel_lin,15.2924
NS.BER.00.HHE.D,2020-01-12T00:00:00,2020-01-12T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-12T00:00:02,2020-01-12T23:59:59,pct_above_nhnm,3.62669
NS.BER.00.HHN.D,2020-01-12T00:00:02,2020-01-12T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-12T00:00:02,2020-01-12T23:59:59,dead_channel_lin,14.9129
NS.BER.00.HHN.D,2020-01-12T00:00:02,2020-01-12T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-12T00:00:01,2020-01-12T23:59:59,pct_above_nhnm,5.89942
NS.BER.00.HHZ.D,2020-01-12T00:00:01,2020-01-12T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-12T00:00:01,2020-01-12T23:59:59,dead_channel_lin,17.2633
NS.BER.00.HHZ.D,2020-01-12T00:00:01,2020-01-12T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-13T00:00:03,2020-01-13T23:59:59,pct_above_nhnm,3.45745
NS.BER.00.HHE.D,2020-01-13T00:00:03,2020-01-13T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-13T00:00:03,2020-01-13T23:59:59,dead_channel_lin,13.5434
NS.BER.00.HHE.D,2020-01-13T00:00:03,2020-01-13T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-13T00:00:00,2020-01-13T23:59:59,pct_above_nhnm,3.67505
NS.BER.00.HHN.D,2020-01-13T00:00:00,2020-01-13T23:59:59,pct_below_nlnm,0
NS.BER.00.HHN.D,2020-01-13T00:00:00,2020-01-13T23:59:59,dead_channel_lin,13.106
NS.BER.00.HHN.D,2020-01-13T00:00:00,2020-01-13T23:59:59,dead_channel_gsn,0
NS.BER.00.HHZ.D,2020-01-13T00:00:00,2020-01-13T23:59:59,pct_above_nhnm,5.85106
NS.BER.00.HHZ.D,2020-01-13T00:00:00,2020-01-13T23:59:59,pct_below_nlnm,0
NS.BER.00.HHZ.D,2020-01-13T00:00:00,2020-01-13T23:59:59,dead_channel_lin,16.2814
NS.BER.00.HHZ.D,2020-01-13T00:00:00,2020-01-13T23:59:59,dead_channel_gsn,0
NS.BER.00.HHE.D,2020-01-14T00:00:03,2020-01-14T23:59:59,pct_above_nhnm,5.17408
NS.BER.00.HHE.D,2020-01-14T00:00:03,2020-01-14T23:59:59,pct_below_nlnm,0
NS.BER.00.HHE.D,2020-01-14T00:00:03,2020-01-14T23:59:59,dead_channel_lin,13.781
NS.BER.00.HHE.D,2020-01-14T00:00:03,2020-01-14T23:59:59,dead_channel_gsn,0
NS.BER.00.HHN.D,2020-01-14T00:00:03,2020-01-14T23:59:59,pct_above_nhnm,4.25532
