target,start,end,metricName,value
NS.BER.00.HHE.D,2020-01-02T04:36:40,2020-01-02T04:37:42,sample_snr,0.850605
NS.BER.00.HHN.D,2020-01-02T04:36:40,2020-01-02T04:37:42,sample_snr,1.19824
NS.BER.00.HHZ.D,2020-01-02T04:36:40,2020-01-02T04:37:42,sample_snr,0.9157
NS.BER.00.HHE.D,2020-01-02T11:38:59,2020-01-02T11:40:01,sample_snr,0.774679
NS.BER.00.HHN.D,2020-01-02T11:38:59,2020-01-02T11:40:01,sample_snr,0.764219
NS.BER.00.HHZ.D,2020-01-02T11:38:59,2020-01-02T11:40:01,sample_snr,0.745217
NS.BER.00.HHE.D,2020-01-02T18:35:13,2020-01-02T18:36:15,sample_snr,0.943749
NS.BER.00.HHN.D,2020-01-02T18:35:13,2020-01-02T18:36:15,sample_snr,0.680278
NS.BER.00.HHZ.D,2020-01-02T18:35:13,2020-01-02T18:36:15,sample_snr,0.974511
NS.BER.00.HHE.D,2020-01-03T15:40:23,2020-01-03T15:41:25,sample_snr,0.761258
NS.BER.00.HHN.D,2020-01-03T15:40:23,2020-01-03T15:41:25,sample_snr,0.762703
NS.BER.00.HHZ.D,2020-01-03T15:40:23,2020-01-03T15:41:25,sample_snr,1.12057
NS.BER.00.HHE.D,2020-01-05T04:52:20,2020-01-05T04:53:22,sample_snr,0.8839
NS.BER.00.HHN.D,2020-01-05T04:52:20,2020-01-05T04:53:22,sample_snr,1.03643
NS.BER.00.HHZ.D,2020-01-05T04:52:20,2020-01-05T04:53:22,sample_snr,1.27166
NS.BER.00.HHE.D,2020-01-06T01:39:13,2020-01-06T01:40:15,sample_snr,1.21506
NS.BER.00.HHN.D,2020-01-06T01:39:13,2020-01-06T01:40:15,sample_snr,1.14601
NS.BER.00.HHZ.D,2020-01-06T01:39:13,2020-01-06T01:40:15,sample_snr,1.03209
NS.BER.00.HHE.D,2020-01-06T10:42:33,2020-01-06T10:43:35,sample_snr,1.4686
NS.BER.00.HHN.D,2020-01-06T10:42:33,2020-01-06T10:43:35,sample_snr,0.941001
NS.BER.00.HHZ.D,2020-01-06T10:42:33,2020-01-06T10:43:35,sample_snr,1.41845
NS.BER.00.HHE.D,2020-01-07T06:17:40,2020-01-07T06:18:42,sample_snr,1.20881
NS.BER.00.HHN.D,2020-01-07T06:17:40,2020-01-07T06:18:42,sample_snr,0.982806
NS.BER.00.HHZ.D,2020-01-07T06:17:40,2020-01-07T06:18:42,sample_snr,0.915898
NS.BER.00.HHE.D,2020-01-07T08:34:39,2020-01-07T08:35:41,sample_snr,1.12975
NS.BER.00.HHN.D,2020-01-07T08:34:39,2020-01-07T08:35:41,sample_snr,0.995807
NS.BER.00.HHZ.D,2020-01-07T08:34:39,2020-01-07T08:35:41,sample_snr,1.03957
NS.BER.00.HHE.D,2020-01-07T08:44:15,2020-01-07T08:45:17,sample_snr,1.07262
NS.BER.00.HHN.D,2020-01-07T08:44:15,2020-01-07T08:45:17,sample_snr,0.983036
NS.BER.00.HHZ.D,2020-01-07T08:44:15,2020-01-07T08:45:17,sample_snr,1.41468
NS.BER.00.HHE.D,2020-01-07T11:28:56,2020-01-07T11:29:58,sample_snr,0.553583
NS.BER.00.HHN.D,2020-01-07T11:28:56,2020-01-07T11:29:58,sample_snr,1.09566
NS.BER.00.HHZ.D,2020-01-07T11:28:56,2020-01-07T11:29:58,sample_snr,0.419283
NS.BER.00.HHE.D,2020-01-07T19:26:01,2020-01-07T19:27:03,sample_snr,0.519815
NS.BER.00.HHN.D,2020-01-07T19:26:01,2020-01-07T19:27:03,sample_snr,0.549117
NS.BER.00.HHZ.D,2020-01-07T19:26:01,2020-01-07T19:27:03,sample_snr,0.973343
NS.BER.00.HHE.D,2020-01-08T07:47:00,2020-01-08T07:48:02,sample_snr,1.1947
NS.BER.00.HHN.D,2020-01-08T07:47:00,2020-01-08T07:48:02,sample_snr,0.804706
NS.BER.00.HHZ.D,2020-01-08T07:47:00,2020-01-08T07:48:02,sample_snr,0.91108
NS.BER.00.HHE.D,2020-01-09T08:47:21,2020-01-09T08:48:23,sample_snr,1.07495
NS.BER.00.HHN.D,2020-01-09T08:47:21,2020-01-09T08:48:23,sample_snr,0.971246
NS.BER.00.HHZ.D,2020-01-09T08:47:21,2020-01-09T08:48:23,sample_snr,1.07702
NS.BER.00.HHE.D,2020-01-10T15:33:19,2020-01-10T15:34:21,sample_snr,0.878877
NS.BER.00.HHN.D,2020-01-10T15:33:19,2020-01-10T15:34:21,sample_snr,0.977685
NS.BER.00.HHZ.D,2020-01-10T15:33:19,2020-01-10T15:34:21,sample_snr,0.850275
NS.BER.00.HHE.D,2020-01-11T13:05:00,2020-01-11T13:06:02,sample_snr,0.582325
NS.BER.00.HHN.D,2020-01-11T13:05:00,2020-01-11T13:06:02,sample_snr,1.22897
NS.BER.00.HHZ.D,2020-01-11T13:05:00,2020-01-11T13:06:02,sample_snr,1.04048
NS.BER.00.HHE.D,2020-01-12T02:41:20,2020-01-12T02:42:22,sample_snr,0.846146
NS.BER.00.HHN.D,2020-01-12T02:41:20,2020-01-12T02:42:22,sample_snr,1.13605
NS.BER.00.HHZ.D,2020-01-12T02:41:20,2020-01-12T02:42:22,sample_snr,0.822161
NS.BER.00.HHE.D,2020-01-15T08:09:41,2020-01-15T08:10:43,sample_snr,0.64937
NS.BER.00.HHN.D,2020-01-15T08:09:41,2020-01-15T08:10:43,sample_snr,0.762815
NS.BER.00.HHZ.D,2020-01-15T08:09:41,2020-01-15T08:10:43,sample_snr,0.811142
NS.BER.00.HHE.D,2020-01-16T10:08:13,2020-01-16T10:09:15,sample_snr,1.06759
NS.BER.00.HHN.D,2020-01-16T10:08:13,2020-01-16T10:09:15,sample_snr,1.32703
NS.BER.00.HHZ.D,2020-01-16T10:08:13,2020-01-16T10:09:15,sample_snr,1.38442
NS.BER.00.HHE.D,2020-01-17T06:48:55,2020-01-17T06:49:57,sample_snr,1.07699
NS.BER.00.HHN.D,2020-01-17T06:48:55,2020-01-17T06:49:57,sample_snr,0.82324
NS.BER.00.HHZ.D,2020-01-17T06:48:55,2020-01-17T06:49:57,sample_snr,0.780862
NS.BER.00.HHE.D,2020-01-18T16:52:19,2020-01-18T16:53:21,sample_snr,1.14201
NS.BER.00.HHN.D,2020-01-18T16:52:19,2020-01-18T16:53:21,sample_snr,1.76207
NS.BER.00.HHZ.D,2020-01-18T16:52:19,2020-01-18T16:53:21,sample_snr,1.03138
NS.BER.00.HHE.D,2020-01-19T13:36:01,2020-01-19T13:37:03,sample_snr,1.11858
NS.BER.00.HHN.D,2020-01-19T13:36:01,2020-01-19T13:37:03,sample_snr,0.872757
NS.BER.00.HHZ.D,2020-01-19T13:36:01,2020-01-19T13:37:03,sample_snr,1.15387
NS.BER.00.HHE.D,2020-01-19T17:11:36,2020-01-19T17:12:38,sample_snr,1.24897
NS.BER.00.HHN.D,2020-01-19T17:11:36,2020-01-19T17:12:38,sample_snr,1.40527
