target,start,end,metricName,time,value
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_gaps,,1
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_gap,,3.68
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_overlaps,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_overlap,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,percent_availability,,99.9957
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,calibration_signal,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,timing_correction,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_begin,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_end,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_in_progress,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,clock_locked,,19959
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,amplifier_saturation,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,digitizer_clipping,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,spikes,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,glitches,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,missing_padded_data,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,digital_filter_charging,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,suspect_time_tag,,0
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,timing_quality,,99.0166
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_min,,-17563
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_median,,-14607
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_mean,,-14604.8
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_max,,-11342
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_rms,,609.655
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_unique,,5565
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_stalta,2020-01-01T20:46:26,17.44
NS.BER.00.HHE.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_spikes,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_gaps,,1
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_gap,,1.17
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_overlaps,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_overlap,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,percent_availability,,99.9986
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,calibration_signal,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,timing_correction,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_begin,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_end,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_in_progress,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,clock_locked,,19989
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,amplifier_saturation,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,digitizer_clipping,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,spikes,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,glitches,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,missing_padded_data,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,digital_filter_charging,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,suspect_time_tag,,0
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,timing_quality,,99.0183
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_min,,-17754
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_median,,-14235
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_mean,,-14234
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_max,,-11096
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_rms,,650.096
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,sample_unique,,5943
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_stalta,2020-01-01T06:16:09,19.1417
NS.BER.00.HHN.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_spikes,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_gaps,,1
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_gap,,0.67
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,num_overlaps,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,max_overlap,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,percent_availability,,99.9992
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,calibration_signal,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,timing_correction,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_begin,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_end,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,event_in_progress,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,clock_locked,,20031
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,amplifier_saturation,,0
NS.BER.00.HHZ.D,2020-01-01T00:00:00,2020-01-01T23:59:59,digitizer_clipping,,0
