target,starttime,endtime,freq,power
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0052556,-151.436
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.00573128,-154.143
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.00625,-154.586
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.00681567,-155.348
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.00743254,-155.581
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.00810525,-156.521
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.00883883,-159.497
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.00963882,-159.342
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0105112,-159.387
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0114626,-159.557
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0125,-159.574
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0136313,-161.337
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0148651,-161.322
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0162105,-162.522
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0176777,-162.77
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0192776,-162.417
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0210224,-163.627
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0229251,-164.061
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.025,-164.321
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0272627,-163.649
NS.BER.00.HHE,2020-01-13T00:00:00,2020-01-13T01:00:00,0.0297302,-162.388
