target,starttime,endtime,freq,power
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0052556,-158.929
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.00573128,-159.915
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.00625,-160.358
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.00681567,-160.101
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.00743254,-160.334
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.00810525,-159.699
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.00883883,-160.113
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.00963882,-159.959
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0105112,-160.272
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0114626,-160.236
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0125,-160.341
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0136313,-161.072
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0148651,-161.066
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0162105,-163.82
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0176777,-164.424
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0192776,-164.07
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0210224,-164.685
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0229251,-165.958
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.025,-166.685
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0272627,-166.883
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0297302,-166.279
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.032421,-165.553
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0353553,-163.606
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0385553,-161.219
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0420448,-155.943
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0458502,-148.824
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.05,-144.667
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0545254,-141.614
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0594604,-139.153
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.064842,-137.277
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0707107,-136.351
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0771105,-135.707
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0840896,-132.482
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.0917004,-123.5
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.1,-118.471
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.109051,-114.596
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.118921,-108.622
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.129684,-104.216
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.141421,-102.315
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.154221,-101.22
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.168179,-100.596
NS.BER.00.HHZ,2020-01-16T00:00:00,2020-01-16T01:00:00,0.183401,-100.093
