target,start,end,metricName,value
NS.BER.00.HHE:HHN.D,2020-01-02T04:27:05,2020-01-02T04:57:07,cross_talk,-0.04371
NS.BER.00.HHE:HHZ.D,2020-01-02T04:27:05,2020-01-02T04:57:07,cross_talk,0.107927
NS.BER.00.HHN:HHZ.D,2020-01-02T04:27:05,2020-01-02T04:57:07,cross_talk,-0.0499493
NS.BER.00.HHE:HHN.D,2020-01-02T11:23:03,2020-01-02T11:53:05,cross_talk,-0.0437058
NS.BER.00.HHE:HHZ.D,2020-01-02T11:23:03,2020-01-02T11:53:05,cross_talk,0.0913971
NS.BER.00.HHN:HHZ.D,2020-01-02T11:23:03,2020-01-02T11:53:05,cross_talk,-0.03533
NS.BER.00.HHE:HHN.D,2020-01-02T18:21:52,2020-01-02T18:51:54,cross_talk,-0.0614372
NS.BER.00.HHE:HHZ.D,2020-01-02T18:21:52,2020-01-02T18:51:54,cross_talk,0.00654024
NS.BER.00.HHN:HHZ.D,2020-01-02T18:21:52,2020-01-02T18:51:54,cross_talk,0.0278038
NS.BER.00.HHE:HHN.D,2020-01-03T15:26:53,2020-01-03T15:56:55,cross_talk,-0.0232436
NS.BER.00.HHE:HHZ.D,2020-01-03T15:26:53,2020-01-03T15:56:55,cross_talk,0.0368697
NS.BER.00.HHN:HHZ.D,2020-01-03T15:26:53,2020-01-03T15:56:55,cross_talk,0.016587
NS.BER.00.HHE:HHN.D,2020-01-05T04:38:48,2020-01-05T05:08:50,cross_talk,-0.0815802
NS.BER.00.HHE:HHZ.D,2020-01-05T04:38:48,2020-01-05T05:08:50,cross_talk,0.116365
NS.BER.00.HHN:HHZ.D,2020-01-05T04:38:48,2020-01-05T05:08:50,cross_talk,0.0031245
NS.BER.00.HHE:HHN.D,2020-01-06T01:27:19,2020-01-06T01:57:21,cross_talk,-0.0385755
NS.BER.00.HHE:HHZ.D,2020-01-06T01:27:19,2020-01-06T01:57:21,cross_talk,0.0806583
NS.BER.00.HHN:HHZ.D,2020-01-06T01:27:19,2020-01-06T01:57:21,cross_talk,0.0211609
NS.BER.00.HHE:HHN.D,2020-01-06T10:30:17,2020-01-06T11:00:19,cross_talk,-0.0532612
NS.BER.00.HHE:HHZ.D,2020-01-06T10:30:17,2020-01-06T11:00:19,cross_talk,0.0605814
NS.BER.00.HHN:HHZ.D,2020-01-06T10:30:17,2020-01-06T11:00:19,cross_talk,0.0295512
NS.BER.00.HHE:HHN.D,2020-01-07T06:03:18,2020-01-07T06:33:20,cross_talk,-0.0250238
NS.BER.00.HHE:HHZ.D,2020-01-07T06:03:18,2020-01-07T06:33:20,cross_talk,0.0610317
NS.BER.00.HHN:HHZ.D,2020-01-07T06:03:18,2020-01-07T06:33:20,cross_talk,-0.074779
NS.BER.00.HHE:HHN.D,2020-01-07T08:22:24,2020-01-07T08:52:26,cross_talk,-0.0782998
NS.BER.00.HHE:HHZ.D,2020-01-07T08:22:24,2020-01-07T08:52:26,cross_talk,0.110284
NS.BER.00.HHN:HHZ.D,2020-01-07T08:22:24,2020-01-07T08:52:26,cross_talk,-0.0131968
NS.BER.00.HHE:HHN.D,2020-01-07T08:32:00,2020-01-07T09:02:02,cross_talk,-0.053029
NS.BER.00.HHE:HHZ.D,2020-01-07T08:32:00,2020-01-07T09:02:02,cross_talk,0.0720469
NS.BER.00.HHN:HHZ.D,2020-01-07T08:32:00,2020-01-07T09:02:02,cross_talk,0.0325737
NS.BER.00.HHE:HHN.D,2020-01-07T11:16:42,2020-01-07T11:46:44,cross_talk,-0.0704245
NS.BER.00.HHE:HHZ.D,2020-01-07T11:16:42,2020-01-07T11:46:44,cross_talk,0.0743587
NS.BER.00.HHN:HHZ.D,2020-01-07T11:16:42,2020-01-07T11:46:44,cross_talk,-0.0247871
NS.BER.00.HHE:HHN.D,2020-01-07T19:09:34,2020-01-07T19:39:36,cross_talk,-0.102114
NS.BER.00.HHE:HHZ.D,2020-01-07T19:09:34,2020-01-07T19:39:36,cross_talk,0.0852958
NS.BER.00.HHN:HHZ.D,2020-01-07T19:09:34,2020-01-07T19:39:36,cross_talk,-0.0309687
NS.BER.00.HHE:HHN.D,2020-01-08T07:27:40,2020-01-08T07:57:42,cross_talk,-0.0660435
NS.BER.00.HHE:HHZ.D,2020-01-08T07:27:40,2020-01-08T07:57:42,cross_talk,0.128654
NS.BER.00.HHN:HHZ.D,2020-01-08T07:27:40,2020-01-08T07:57:42,cross_talk,-0.0289435
NS.BER.00.HHE:HHN.D,2020-01-09T08:36:07,2020-01-09T09:06:09,cross_talk,-0.0428499
NS.BER.00.HHE:HHZ.D,2020-01-09T08:36:07,2020-01-09T09:06:09,cross_talk,0.0181878
NS.BER.00.HHN:HHZ.D,2020-01-09T08:36:07,2020-01-09T09:06:09,cross_talk,0.00230356
NS.BER.00.HHE:HHN.D,2020-01-10T15:19:20,2020-01-10T15:49:22,cross_talk,-0.0659905
NS.BER.00.HHE:HHZ.D,2020-01-10T15:19:20,2020-01-10T15:49:22,cross_talk,0.112238
NS.BER.00.HHN:HHZ.D,2020-01-10T15:19:20,2020-01-10T15:49:22,cross_talk,0.0251461
NS.BER.00.HHE:HHN.D,2020-01-11T12:52:44,2020-01-11T13:22:46,cross_talk,0.0564141
NS.BER.00.HHE:HHZ.D,2020-01-11T12:52:44,2020-01-11T13:22:46,cross_talk,0.079225
NS.BER.00.HHN:HHZ.D,2020-01-11T12:52:44,2020-01-11T13:22:46,cross_talk,0.00710124
NS.BER.00.HHE:HHN.D,2020-01-12T02:24:59,2020-01-12T02:55:01,cross_talk,-0.113951
NS.BER.00.HHE:HHZ.D,2020-01-12T02:24:59,2020-01-12T02:55:01,cross_talk,0.0907433
NS.BER.00.HHN:HHZ.D,2020-01-12T02:24:59,2020-01-12T02:55:01,cross_talk,-0.0135276
NS.BER.00.HHE:HHN.D,2020-01-15T07:53:29,2020-01-15T08:23:31,cross_talk,-0.00682062
NS.BER.00.HHE:HHZ.D,2020-01-15T07:53:29,2020-01-15T08:23:31,cross_talk,0.0928675
NS.BER.00.HHN:HHZ.D,2020-01-15T07:53:29,2020-01-15T08:23:31,cross_talk,0.0513234
NS.BER.00.HHE:HHN.D,2020-01-16T09:56:18,2020-01-16T10:26:20,cross_talk,-0.0513623
NS.BER.00.HHE:HHZ.D,2020-01-16T09:56:18,2020-01-16T10:26:20,cross_talk,-0.0111874
NS.BER.00.HHN:HHZ.D,2020-01-16T09:56:18,2020-01-16T10:26:20,cross_talk,0.0467542
NS.BER.00.HHE:HHN.D,2020-01-17T06:35:51,2020-01-17T07:05:53,cross_talk,-0.0878053
